Overall Accuracy: 91.0673%

Classification Report:
              precision    recall  f1-score   support

           0     0.9382    0.9755    0.9565       980
           1     0.9541    0.9709    0.9624      1135
           2     0.9280    0.8740    0.9002      1032
           3     0.8942    0.9040    0.8991      1010
           4     0.8980    0.9328    0.9151       982
           5     0.8817    0.8520    0.8666       892
           6     0.9222    0.9405    0.9313       958
           7     0.9222    0.9115    0.9168      1028
           8     0.8742    0.8634    0.8688       974
           9     0.8936    0.8821    0.8878      1009

    accuracy                         0.9118     10000
   macro avg     0.9106    0.9107    0.9105     10000
weighted avg     0.9116    0.9118    0.9115     10000
