Overall Accuracy: 96.4562%

Classification Report:
              precision    recall  f1-score   support

           0     0.9788    0.9908    0.9848       980
           1     0.9807    0.9824    0.9815      1135
           2     0.9538    0.9797    0.9665      1032
           3     0.9599    0.9713    0.9656      1010
           4     0.9690    0.9562    0.9626       982
           5     0.9745    0.9439    0.9590       892
           6     0.9827    0.9499    0.9660       958
           7     0.9485    0.9679    0.9581      1028
           8     0.9379    0.9620    0.9498       974
           9     0.9674    0.9415    0.9543      1009

    accuracy                         0.9651     10000
   macro avg     0.9653    0.9646    0.9648     10000
weighted avg     0.9653    0.9651    0.9651     10000
